tipo,ordem,ativo,descricao,hint_detalhamento
Requerimento,1,true,"Solicitação formal do interessado","Descreva o tipo de requerimento (ex: ressarcimento, aposentadoria)"
Processo SEI,2,true,"Processo administrativo eletrônico no SEI","Informe o tipo de processo (ex: Aposentadoria, Pensão, Cessão)"
Formulário de sistema,3,true,"Formulário preenchido em sistema específico","Informe o sistema e o formulário (ex: SIGEPE - Requerimento de Ressarcimento)"
Documentos pessoais,4,true,"CPF, RG, certidões ou documentos de identificação","Especifique quais documentos pessoais"
Contrato / Termo,5,true,"Contrato, termo de adesão ou instrumento formal","Descreva o tipo de contrato (ex: adesão a plano de saúde, cessão)"
Declaração,6,true,"Declaração emitida por pessoa, empresa ou órgão","Descreva quem emite e o conteúdo (ex: declaração da operadora de saúde)"
Certidão,7,true,"Documento que certifica ou atesta informação oficial","Descreva o tipo de certidão (ex: tempo de serviço, óbito, nascimento)"
Comprovante de pagamento,8,true,"Boleto, recibo, fatura ou comprovante de despesa","Descreva o que é comprovado (ex: mensalidade de plano de saúde)"
Comprovante de situação,9,true,"Documento que comprova vínculo, residência ou situação","Descreva o que é comprovado (ex: residência, vínculo funcional)"
Parecer,10,true,"Opinião técnica ou jurídica recebida de outra área","Descreva a origem e o assunto do parecer"
Planilha / Dados,11,true,"Dados estruturados recebidos para análise","Descreva o conteúdo (ex: folha de pagamento, extrato SIAPE)"
Extrato de Indício,12,true,"Extrato ou relatório de indícios identificados","Descreva o tipo de extrato (ex: extrato de indício de óbito, de acumulação)"
Procuração,13,true,"Instrumento de mandato ou representação legal","Descreva o tipo (ex: procuração para representar aposentado)"
Legislação / Norma,14,true,"Dispositivo normativo consultado durante a etapa","Descreva a norma aplicável"
E-mail / Comunicação,15,true,"Comunicação recebida por e-mail ou sistema de mensagens","Descreva o assunto da comunicação"
Outro,16,true,"Outro tipo de documento não listado","Especifique qual tipo de documento"
